Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
4735,-17.778,-17.778,0,23.331,86.071,41.8,252.6,6.918,0,9990000,0,1410,1409.992,1417.91,56.699,6.918,17.914,38.054,0,0,19.737,1.347,1,0,0,1,0,1,1,0,0,300,293.992,7.533,0,1,1,1,0,1,0,0,1,1,1,1,0,232.752,757.142,4669.867,3659.017
4736,-17.778,-17.778,0,23.263,85.999,41.8,252.6,6.932,0,9990000,0,1410,1410.127,1418.187,56.602,6.932,17.928,37.798,0,0,19.759,1.223,1,0,0,1,0,1,1,0,0,300,294.036,7.576,0,1,1,1,0,1,0,0,1,1,1,1,0,232.739,756.86,4670.867,3660.017
4737,-17.778,-17.778,0,23.328,86.083,41.8,252.6,6.936,0,9990000,0,1410,1409.547,1417.974,56.724,6.936,17.934,37.837,0,0,19.789,1.298,1,0,0,1,0,1,1,0,0,300,294.005,7.571,0,1,1,1,0,1,0,0,1,1,1,1,0,232.952,757.012,4671.883,3661.033
4738,-17.778,-17.778,0,23.446,85.932,41.8,252.6,6.93,0,9990000,0,1410,1409.978,1417.049,56.645,6.93,17.904,37.886,0,0,19.71,1.172,1,0,0,1,0,1,1,0,0,300,294.009,7.609,0,1,1,1,0,1,0,0,1,1,1,1,0,232.819,756.67,4672.883,3662.033
4739,-17.778,-17.778,0,23.284,85.926,41.8,252.6,6.94,0,9990000,0,1410,1410.156,1417.38,56.575,6.94,17.902,38.081,0,0,19.706,1.31,1,0,0,1,0,1,1,0,0,300,293.889,7.508,0,1,1,1,0,1,0,0,1,1,1,1,0,232.679,756.976,4673.883,3663.033
4740,-17.778,-17.778,0,23.361,86.013,40.794,252.6,7.304,0,9990000,0,1410,1409.548,1417.932,56.808,6.935,17.935,37.821,0,0,19.784,1.274,1,0,0,1,0,1,1,0,0,300,293.994,7.532,0,1,1,1,0,1,0,0,1,1,1,1,0,232.776,756.732,4674.883,3664.033
4741,-17.778,-17.778,0,23.399,85.884,41.556,252.6,6.983,0,9990000,0,1410,1410.076,1417.468,56.651,6.921,17.912,38.069,0,0,19.717,1.343,1,0,0,1,0,1,1,0,0,300,294.034,7.54,0,1,1,1,0,1,0,0,1,1,1,1,0,232.649,756.96,4675.883,3665.033
4742,-17.778,-17.778,0,23.372,85.763,41.417,252.6,6.99,0,9990000,0,1410,1409.506,1418.063,56.818,6.903,17.924,37.814,0,0,19.763,1.209,1,0,0,1,0,1,1,0,0,300,293.914,7.549,0,1,1,1,0,1,0,0,1,1,1,1,0,232.401,756.734,4676.9,3666.05
4743,-17.778,-17.778,0,23.374,85.751,42.53,252.6,6.662,0,9990000,0,1410,1410.006,1417.307,56.703,6.939,17.903,37.97,0,0,19.699,1.215,1,0,0,1,0,1,1,0,0,300,294.034,7.577,0,1,1,1,0,1,0,0,1,1,1,1,0,232.507,756.545,4677.9,3667.05
4744,-17.778,-17.778,0,23.348,85.63,39.749,252.6,7.492,0,9990000,0,1410,1409.911,1417.791,56.753,6.924,17.929,37.807,0,0,19.76,1.216,1,0,0,1,0,1,1,0,0,300,294.247,7.556,0,1,1,1,0,1,0,0,1,1,1,1,0,232.779,756.73,4678.917,3668.067
4745,-17.778,-17.778,0,23.463,85.257,34.823,252.5,9.047,0,9990000,0,1410,1409.964,1417.872,56.779,6.932,17.909,37.846,0,0,19.725,1.162,1,0,0,1,0,1,1,0,0,300,294.23,7.558,0,1,1,1,0,1,0,0,1,1,1,1,0,232.539,756.493,4679.917,3669.067
4746,-17.778,-17.778,0,23.274,84.93,40.673,252.5,6.92,0,9990000,0,1410,1410.087,1418.026,56.669,6.92,17.931,37.83,0,0,19.786,1.264,1,0,0,1,0,1,1,0,0,300,294.171,7.57,0,1,1,1,0,1,0,0,1,1,1,1,0,232.828,756.511,4680.933,3670.083
4747,-17.778,-17.778,0,23.411,84.943,41.692,252.5,6.653,0,9990000,0,1410,1410.35,1417.665,56.59,6.95,17.907,37.877,0,0,19.717,1.166,1,0,0,1,0,1,1,0,0,300,294.222,7.517,0,1,1,1,0,1,0,0,1,1,1,1,0,233.028,756.59,4681.933,3671.083
4748,-17.778,-17.778,0,23.34,84.955,37.375,252.5,7.998,0,9990000,0,1410,1409.588,1417.803,56.865,6.933,17.929,37.937,0,0,19.781,1.331,1,0,0,1,0,1,1,0,0,300,294.11,7.566,0,1,1,1,0,1,0,0,1,1,1,1,0,232.582,756.581,4682.95,3672.1
4749,-17.778,-17.778,0,23.324,84.812,40.965,252.5,6.796,0,9990000,0,1410,1409.952,1418.37,56.785,6.914,17.933,37.813,0,0,19.775,1.275,1,0,0,1,0,1,1,0,0,300,293.924,7.546,0,1,1,1,0,1,0,0,1,1,1,1,0,232.628,756.48,4683.967,3673.117
4750,-17.778,-17.778,0,23.37,84.74,40.942,252.6,6.861,0,9990000,0,1410,1410.143,1418.55,56.643,6.908,17.928,37.798,0,0,19.769,1.221,1,0,0,1,0,1,1,0,0,300,294.045,7.551,0,1,1,1,0,1,0,0,1,1,1,1,0,232.811,756.413,4684.983,3674.133
4751,-17.778,-17.778,0,23.361,84.754,39.612,252.5,7.282,0,9990000,0,1410,1410.168,1417.453,56.568,6.955,17.899,38.046,0,0,19.678,1.28,1,0,0,1,0,1,1,0,0,300,293.99,7.536,0,1,1,1,0,1,0,0,1,1,1,1,0,233.037,756.5,4685.983,3675.133
